"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"178",2020-02-23,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"179",2020-02-23,"California",6,9,0,39512223,2.27777617068015e-07,8,2.02468992949346e-07
"180",2020-02-23,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"181",2020-02-23,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"182",2020-02-23,"Nebraska",31,11,0,1934408,5.68649426594596e-06,10.5714285714286,5.46494254129872e-06
"183",2020-02-23,"Texas",48,4,0,28995881,1.37950628228885e-07,2.85714285714286,9.85361630206324e-08
"184",2020-02-23,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"185",2020-02-23,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"186",2020-02-24,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"187",2020-02-24,"California",6,11,0,39512223,2.78394865305351e-07,8.57142857142857,2.169310638743e-07
"188",2020-02-24,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"189",2020-02-24,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"190",2020-02-24,"Nebraska",31,12,0,1934408,6.20344829012287e-06,10.8571428571429,5.61264369106355e-06
"191",2020-02-24,"Texas",48,10,0,28995881,3.44876570572213e-07,4,1.37950628228885e-07
"192",2020-02-24,"Washington",53,5,0,7614893,6.56608044262736e-07,1.57142857142857,2.0636252819686e-07
"193",2020-02-24,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"194",2020-02-25,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"195",2020-02-25,"California",6,11,0,39512223,2.78394865305351e-07,9.14285714285714,2.31393134799253e-07
"196",2020-02-25,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"197",2020-02-25,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"198",2020-02-25,"Nebraska",31,13,0,1934408,6.72040231429978e-06,11.2857142857143,5.83419541571079e-06
"199",2020-02-25,"Texas",48,10,0,28995881,3.44876570572213e-07,5.14285714285714,1.77365093437138e-07
"200",2020-02-25,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"201",2020-02-25,"Washington",53,5,0,7614893,6.56608044262736e-07,2.14285714285714,2.81403447541173e-07
"202",2020-02-25,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"203",2020-02-26,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"204",2020-02-26,"California",6,26,0,39512223,6.58024227085376e-07,11.8571428571429,3.00087971692781e-07
"205",2020-02-26,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"206",2020-02-26,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"207",2020-02-26,"Nebraska",31,13,0,1934408,6.72040231429978e-06,11.7142857142857,6.05574714035804e-06
"208",2020-02-26,"Texas",48,10,0,28995881,3.44876570572213e-07,6.28571428571429,2.16779558645391e-07
"209",2020-02-26,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"210",2020-02-26,"Washington",53,5,0,7614893,6.56608044262736e-07,2.71428571428571,3.56444366885485e-07
"211",2020-02-26,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"212",2020-02-27,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
